s	p	o
http://lod.nbrp/Medaka/MT374	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000002708
http://lod.nbrp/Medaka/MT374	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000002708
http://lod.nbrp/Medaka/MT374	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000002708
http://lod.nbrp/Medaka/MT374	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000002708
http://lod.nbrp/Medaka/MT375	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000003282
http://lod.nbrp/Medaka/MT375	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000003282
http://lod.nbrp/Medaka/MT375	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000003282
http://lod.nbrp/Medaka/MT375	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000003282
http://lod.nbrp/Medaka/MT385	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000020496
http://lod.nbrp/Medaka/MT385	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000020496
http://lod.nbrp/Medaka/MT385	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000020496
http://lod.nbrp/Medaka/MT385	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000020496
http://lod.nbrp/Medaka/MT41	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000006024
http://lod.nbrp/Medaka/MT41	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000006024
http://lod.nbrp/Medaka/MT41	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000006024
http://lod.nbrp/Medaka/MT41	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000006024
http://lod.nbrp/Medaka/MT436	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000009191
http://lod.nbrp/Medaka/MT436	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000009191
http://lod.nbrp/Medaka/MT436	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000009191
http://lod.nbrp/Medaka/MT436	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000009191
http://lod.nbrp/Medaka/MT443	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000017874
http://lod.nbrp/Medaka/MT443	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000017874
http://lod.nbrp/Medaka/MT443	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000017874
http://lod.nbrp/Medaka/MT443	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000017874
http://lod.nbrp/Medaka/MT65	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000012793
http://lod.nbrp/Medaka/MT65	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000012793
http://lod.nbrp/Medaka/MT65	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000012793
http://lod.nbrp/Medaka/MT65	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000012793
http://lod.nbrp/Medaka/MT67	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000010905
http://lod.nbrp/Medaka/MT67	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000010905
http://lod.nbrp/Medaka/MT67	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000010905
http://lod.nbrp/Medaka/MT67	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000010905
http://lod.nbrp/Medaka/MT7	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000006533
http://lod.nbrp/Medaka/MT7	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000006533
http://lod.nbrp/Medaka/MT7	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000006533
http://lod.nbrp/Medaka/MT7	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000006533
http://lod.nbrp/Medaka/MT70	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000010905
http://lod.nbrp/Medaka/MT70	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000010905
http://lod.nbrp/Medaka/MT70	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000010905
http://lod.nbrp/Medaka/MT70	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000010905
http://lod.nbrp/Medaka/MT72	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000010905
http://lod.nbrp/Medaka/MT72	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000010905
http://lod.nbrp/Medaka/MT72	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000010905
http://lod.nbrp/Medaka/MT72	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000010905
http://lod.nbrp/Medaka/MT76	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000012848
http://lod.nbrp/Medaka/MT76	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000012848
http://lod.nbrp/Medaka/MT76	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000012848
http://lod.nbrp/Medaka/MT76	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000012848
http://lod.nbrp/Medaka/MT77	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000004269
http://lod.nbrp/Medaka/MT77	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000004269
http://lod.nbrp/Medaka/MT77	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000004269
