s	p	o
http://lod.nbrp/Medaka/MT312	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0001609
http://lod.nbrp/Medaka/MT312	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0008895
http://lod.nbrp/Medaka/MT326	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0001143
http://lod.nbrp/Medaka/MT326	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0002918
http://lod.nbrp/Medaka/MT326	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0003323
http://lod.nbrp/Medaka/MT326	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0003573
http://lod.nbrp/Medaka/MT326	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0004832
http://lod.nbrp/Medaka/MT326	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0005329
http://lod.nbrp/Medaka/MT326	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0007930
http://lod.nbrp/Medaka/MT329	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0000172
http://lod.nbrp/Medaka/MT329	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0000546
http://lod.nbrp/Medaka/MT329	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0005329
http://lod.nbrp/Medaka/MT331	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0000429
http://lod.nbrp/Medaka/MT331	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0000515
http://lod.nbrp/Medaka/MT331	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0000943
http://lod.nbrp/Medaka/MT331	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0003437
http://lod.nbrp/Medaka/MT331	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0005329
http://lod.nbrp/Medaka/MT331	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0006695
http://lod.nbrp/Medaka/MT337	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0000172
http://lod.nbrp/Medaka/MT337	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0000396
http://lod.nbrp/Medaka/MT337	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0000950
http://lod.nbrp/Medaka/MT337	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0005329
http://lod.nbrp/Medaka/MT337	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0006529
http://lod.nbrp/Medaka/MT337	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0008552
http://lod.nbrp/Medaka/MT352	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0000043
http://lod.nbrp/Medaka/MT352	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0000444
http://lod.nbrp/Medaka/MT352	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0000720
http://lod.nbrp/Medaka/MT352	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0001086
http://lod.nbrp/Medaka/MT352	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0002503
http://lod.nbrp/Medaka/MT352	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0003503
http://lod.nbrp/Medaka/MT352	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0003573
http://lod.nbrp/Medaka/MT352	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0008678
http://lod.nbrp/Medaka/MT364	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0000179
http://lod.nbrp/Medaka/MT364	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0003000
http://lod.nbrp/Medaka/MT374	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0000179
http://lod.nbrp/Medaka/MT374	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0002996
http://lod.nbrp/Medaka/MT374	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0003867
http://lod.nbrp/Medaka/MT374	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0005329
http://lod.nbrp/Medaka/MT374	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0009886
http://lod.nbrp/Medaka/MT375	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0000043
http://lod.nbrp/Medaka/MT375	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0000720
http://lod.nbrp/Medaka/MT375	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0001086
http://lod.nbrp/Medaka/MT375	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0003573
http://lod.nbrp/Medaka/MT375	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0007203
http://lod.nbrp/Medaka/MT375	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0008678
http://lod.nbrp/Medaka/MT385	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0001564
http://lod.nbrp/Medaka/MT41	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0000356
http://lod.nbrp/Medaka/MT436	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0002435
http://lod.nbrp/Medaka/MT436	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0003037
http://lod.nbrp/Medaka/MT436	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0005329
http://lod.nbrp/Medaka/MT436	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0009388
http://lod.nbrp/Medaka/MT443	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0001564
http://lod.nbrp/Medaka/MT443	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0004583
