s	p	o
http://lod.nbrp/Medaka/MT67	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/tyr-202
http://lod.nbrp/Medaka/MT67	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:tyr-201
http://lod.nbrp/Medaka/MT67	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:tyr-202
http://lod.nbrp/Medaka/MT67	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/tyr-201
http://lod.nbrp/Medaka/MT67	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/tyr-202
http://lod.nbrp/Medaka/MT7	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/100049347
http://lod.nbrp/Medaka/MT7	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:100049347
http://lod.nbrp/Medaka/MT7	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/100049347
http://lod.nbrp/Medaka/MT7	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/slc45a2-201
http://lod.nbrp/Medaka/MT7	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:slc45a2-201
http://lod.nbrp/Medaka/MT7	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/slc45a2-201
http://lod.nbrp/Medaka/MT70	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:100049427
http://lod.nbrp/Medaka/MT70	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/100049427
http://lod.nbrp/Medaka/MT70	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/100049427
http://lod.nbrp/Medaka/MT70	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/tyr-201
http://lod.nbrp/Medaka/MT70	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/tyr-202
http://lod.nbrp/Medaka/MT70	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:tyr-201
http://lod.nbrp/Medaka/MT70	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:tyr-202
http://lod.nbrp/Medaka/MT70	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/tyr-201
http://lod.nbrp/Medaka/MT70	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/tyr-202
http://lod.nbrp/Medaka/MT72	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:100049427
http://lod.nbrp/Medaka/MT72	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/100049427
http://lod.nbrp/Medaka/MT72	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/100049427
http://lod.nbrp/Medaka/MT72	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/tyr-201
http://lod.nbrp/Medaka/MT72	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/tyr-202
http://lod.nbrp/Medaka/MT72	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:tyr-201
http://lod.nbrp/Medaka/MT72	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:tyr-202
http://lod.nbrp/Medaka/MT72	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/tyr-201
http://lod.nbrp/Medaka/MT72	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/tyr-202
http://lod.nbrp/Medaka/MT76	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:101174080
http://lod.nbrp/Medaka/MT76	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/101174080
http://lod.nbrp/Medaka/MT76	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/101174080
http://lod.nbrp/Medaka/MT76	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/slc2a15b-201
http://lod.nbrp/Medaka/MT76	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:slc2a15b-201
http://lod.nbrp/Medaka/MT76	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/slc2a15b-201
http://lod.nbrp/Medaka/MT77	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:101174017
http://lod.nbrp/Medaka/MT77	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/101174017
http://lod.nbrp/Medaka/MT77	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/101174017
http://lod.nbrp/Medaka/MT77	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/pax7a-201
http://lod.nbrp/Medaka/MT77	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/pax7a-202
http://lod.nbrp/Medaka/MT77	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/pax7a-203
http://lod.nbrp/Medaka/MT77	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:pax7a-201
http://lod.nbrp/Medaka/MT77	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:pax7a-202
http://lod.nbrp/Medaka/MT77	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:pax7a-203
http://lod.nbrp/Medaka/MT77	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/pax7a-201
http://lod.nbrp/Medaka/MT77	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/pax7a-202
http://lod.nbrp/Medaka/MT77	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/pax7a-203
http://lod.nbrp/Medaka/MT80	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/100144355
http://lod.nbrp/Medaka/MT80	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:100144355
http://lod.nbrp/Medaka/MT80	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/100144355
http://lod.nbrp/Medaka/MT80	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/sox5-201
http://lod.nbrp/Medaka/MT80	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/sox5-202
http://lod.nbrp/Medaka/MT80	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/sox5-203
http://lod.nbrp/Medaka/MT80	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/sox5-204
http://lod.nbrp/Medaka/MT80	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:sox5-201
